seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
171	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	38.660340	51.928576	37.885340	53.265411	38.657162	53.712857	39.430573	53.268163	40.200806	54.607749	41.746038	54.610501	43.291270	54.613253	44.066270	53.276418	43.294448	52.828972	43.296037	51.936832	41.750805	51.934080	40.980572	50.594494	40.207161	51.039188	40.205572	51.931328
172	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	38.669874	46.575733	37.124642	46.572981	37.123053	47.465121	37.894875	47.912568	37.119875	49.249402	37.890107	50.588989	38.660340	51.928575	40.205572	51.931328	40.207161	51.039188	40.980572	50.594494	40.210339	49.254907	40.985339	47.918072	40.213517	47.470626	39.440106	47.915320
173	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	35.579409	46.570229	36.349642	47.909815	37.123053	47.465121	37.124642	46.572981	38.669874	46.575732	39.444873	45.238898	40.219873	43.902063	39.449640	42.562477	38.676229	43.007171	37.904407	42.559725	37.129407	43.896560	35.584175	43.893808	35.582587	44.785948	36.354409	45.233394
174	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	30.948479	43.885552	30.173479	45.222387	30.945301	45.669833	31.718712	45.225139	32.488945	46.564725	34.034177	46.567477	35.579409	46.570229	36.354409	45.233394	35.582587	44.785948	35.584175	43.893808	34.038944	43.891056	33.268710	42.551470	32.495300	42.996164	32.493711	43.888304
175	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	26.308001	46.553713	27.078234	47.893299	27.851644	47.448605	27.853233	46.556465	29.398465	46.559218	30.173465	45.222383	30.948465	43.885548	30.178233	42.545962	29.404822	42.990656	28.633000	42.543209	27.858000	43.880044	26.312768	43.877291	26.311179	44.769432	27.083001	45.216878
176	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	24.767535	43.874539	25.537768	45.214126	26.311179	44.769432	26.312768	43.877291	27.858000	43.880043	28.632999	42.543208	29.407999	41.206374	28.637766	39.866787	27.864355	40.311481	27.092533	39.864036	26.317534	41.200870	24.772302	41.198118	24.770713	42.090259	25.542535	42.537705
177	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	20.136605	41.189863	19.361605	42.526697	20.133427	42.974143	20.906838	42.529449	21.677071	43.869035	23.222303	43.871787	24.767535	43.874539	25.542535	42.537705	24.770713	42.090259	24.772302	41.198118	23.227070	41.195366	22.456837	39.855780	21.683426	40.300474	21.681837	41.192615
178	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	18.586606	43.863533	20.131838	43.866284	20.133427	42.974143	19.361605	42.526697	20.136604	41.189862	19.366370	39.850276	18.596136	38.510690	17.050903	38.507939	17.049314	39.400080	16.275904	39.844774	17.046138	41.184361	16.271139	42.521196	17.042961	42.968642	17.816372	42.523947
179	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	10.865218	41.173365	10.090220	42.510200	10.862041	42.957646	11.635451	42.512951	12.405685	43.852537	13.950918	43.855288	15.496150	43.858039	16.271149	42.521203	15.499327	42.073758	15.500915	41.181617	13.955683	41.178866	13.185449	39.839280	12.412039	40.283975	12.410451	41.176115
180	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	9.315220	43.847035	10.860453	43.849786	10.862041	42.957646	10.090220	42.510200	10.865218	41.173365	10.094984	39.833778	9.324750	38.494192	7.779518	38.491441	7.777929	39.383582	7.004518	39.828277	7.774752	41.167863	6.999753	42.504698	7.771575	42.952144	8.544986	42.507449
