seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
245	#006699	#000000	#00000000	#00000000		53.498550	54.701983	-0.068164	10.101979	0.451763	10.333538	-0.474476	12.413246	-2.738675	12.650953	-2.679248	13.217003	-3.139748	13.551493	-3.600249	13.885983	-4.120176	13.654423	-3.193936	11.574716	-4.531896	9.732716	-4.071396	9.398226	-4.130823	8.832176	-1.866624	8.594468	-0.528664	10.436469
246	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	0.500542	6.077341	0.441115	5.511291	-1.823084	5.748998	-2.749323	7.828706	-3.269250	7.597146	-3.729750	7.931636	-4.190250	8.266125	-4.130823	8.832176	-1.866624	8.594468	-0.528664	10.436469	-0.068164	10.101979	0.451763	10.333539	1.378002	8.253831	0.040042	6.411831
247	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	-2.250691	-1.584230	-2.770618	-1.815791	-3.696857	0.263917	-2.358897	2.105917	-2.819397	2.440407	-2.759970	3.006457	-2.700543	3.572507	-2.180616	3.804067	-1.254377	1.724360	1.009822	1.486653	0.950395	0.920603	1.410895	0.586113	0.072935	-1.255888	-2.191264	-1.018180
248	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	56.489883	15.058249	57.009811	15.289809	57.936049	13.210101	56.598089	11.368100	57.058589	11.033610	56.999162	10.467560	56.939735	9.901510	56.419808	9.669951	55.493569	11.749659	53.229370	11.987366	53.288797	12.553417	52.828297	12.887907	54.166257	14.729907	56.430457	14.492199
249	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	53.148646	1.776820	53.208073	2.342870	55.472272	2.105163	56.398511	0.025455	56.918438	0.257014	57.378938	-0.077476	57.839438	-0.411966	57.780011	-0.978016	55.515812	-0.740308	54.177852	-2.582309	53.717351	-2.247819	53.197424	-2.479378	52.271186	-0.399670	53.609146	1.442330
250	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	-1.417721	25.572193	-0.897794	25.803753	0.028445	23.724045	-1.309516	21.882045	-0.849016	21.547555	-0.908442	20.981505	-0.967869	20.415455	-1.487796	20.183895	-2.414036	22.263603	-4.678235	22.501310	-4.618808	23.067360	-5.079308	23.401850	-3.741347	25.243850	-1.477148	25.006143
251	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	20.598664	57.923880	21.059164	57.589390	19.721204	55.747390	17.457005	55.985097	17.397579	55.419047	16.877652	55.187487	16.357725	54.955927	15.897225	55.290417	17.235184	57.132417	16.308945	59.212125	16.828872	59.443685	16.888299	60.009735	19.152498	59.772028	20.078737	57.692320
252	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	60.074093	49.876246	60.534593	49.541756	59.196633	47.699757	56.932433	47.937464	56.873007	47.371414	56.353080	47.139855	55.833152	46.908295	55.372652	47.242785	56.710613	49.084785	55.784374	51.164493	56.304301	51.396053	56.363728	51.962103	58.627927	51.724395	59.554166	49.644687
253	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	36.774894	-4.475130	36.715468	-5.041180	34.451268	-4.803474	33.525028	-2.723766	33.005101	-2.955326	32.544601	-2.620837	32.084101	-2.286347	32.143527	-1.720297	34.407727	-1.958003	35.745686	-0.116001	36.206186	-0.450491	36.726113	-0.218931	37.652353	-2.298638	36.314394	-4.140640
254	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	49.476411	-5.215769	49.416984	-5.781819	47.152785	-5.544112	46.226546	-3.464404	45.706619	-3.695964	45.246119	-3.361474	44.785619	-3.026984	44.845046	-2.460934	47.109245	-2.698641	48.447205	-0.856641	48.907705	-1.191131	49.427632	-0.959571	50.353871	-3.039279	49.015911	-4.881279
