seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
126	#66ccff	#000000	#00000000	#00000000		65.318848	62.678976	51.349062	31.505421	50.378766	31.263500	49.959746	32.944102	51.205680	34.147285	50.511022	34.866625	50.786660	35.827887	51.062298	36.789149	52.032594	37.031070	52.451614	35.350468	54.116568	34.873049	53.840930	33.911787	54.535588	33.192447	53.289654	31.989264	51.624700	32.466683
127	#006699	#000000	#00000000	#00000000		65.318848	62.678976	47.181114	35.821463	46.210818	35.579542	46.629838	33.898940	48.294792	33.421521	48.019154	32.460259	48.713812	31.740919	49.408470	31.021579	50.378766	31.263500	49.959746	32.944102	51.205680	34.147285	50.511022	34.866625	50.786660	35.827887	49.121706	36.305306	47.875772	35.102123
128	#66ccff	#000000	#00000000	#00000000		65.318848	62.678976	46.343074	39.182667	46.618712	40.143929	48.283666	39.666510	48.702686	37.985908	49.672982	38.227829	50.367640	37.508489	51.062298	36.789149	50.786660	35.827887	49.121706	36.305306	47.875772	35.102123	47.181114	35.821463	46.210818	35.579542	45.791798	37.260144	47.037732	38.463327
129	#A0A0A0	#000000	#00000000	#00000000		65.318848	62.678976	41.910614	36.292459	41.215956	37.011799	42.461890	38.214982	44.126844	37.737563	44.402482	38.698825	45.372778	38.940746	46.343074	39.182667	47.037732	38.463327	45.791798	37.260144	46.210818	35.579542	45.240522	35.337621	44.964884	34.376359	43.299930	34.853778	42.880910	36.534380
130	#66ccff	#000000	#00000000	#00000000		65.318848	62.678976	44.402482	38.698825	44.126844	37.737563	42.461890	38.214982	42.042870	39.895584	41.072574	39.653663	40.377916	40.373003	39.683258	41.092343	39.958896	42.053605	41.623850	41.576186	42.869784	42.779369	43.564442	42.060029	44.534738	42.301950	44.953758	40.621348	43.707824	39.418165
131	#ffffff	#000000	#00000000	#00000000		65.318848	62.678976	36.353350	42.047180	36.628988	43.008442	38.293942	42.531023	38.712962	40.850421	39.683258	41.092343	40.377916	40.373003	41.072574	39.653663	40.796936	38.692401	39.131982	39.169820	37.886048	37.966637	37.191390	38.685977	36.221094	38.444055	35.802074	40.124657	37.048008	41.327840
132	#66ccff	#000000	#00000000	#00000000		65.318848	62.678976	37.191390	38.685976	37.886048	37.966636	36.640114	36.763453	34.975160	37.240872	34.699522	36.279610	33.729226	36.037689	32.758930	35.795768	32.064272	36.515108	33.310206	37.718291	32.891186	39.398893	33.861482	39.640814	34.137120	40.602076	35.802074	40.124657	36.221094	38.444055
133	#ffffff	#000000	#00000000	#00000000		65.318848	62.678976	31.920890	39.156972	32.891186	39.398893	33.310206	37.718291	32.064272	36.515108	32.758930	35.795768	32.483292	34.834506	32.207654	33.873244	31.237358	33.631323	30.818338	35.311925	29.153384	35.789344	29.429022	36.750606	28.734364	37.469946	29.980298	38.673129	31.645252	38.195710
134	#66ccff	#000000	#00000000	#00000000		65.318848	62.678976	24.709798	39.144124	24.985436	40.105386	26.650390	39.627967	27.069410	37.947365	28.039706	38.189286	28.734364	37.469946	29.429022	36.750606	29.153384	35.789344	27.488430	36.266763	26.242496	35.063580	25.547838	35.782920	24.577542	35.540999	24.158522	37.221601	25.404456	38.424784
135	#A0A0A0	#000000	#00000000	#00000000		65.318848	62.678976	20.277338	36.253916	19.582680	36.973256	20.828614	38.176439	22.493568	37.699020	22.769206	38.660282	23.739502	38.902203	24.709798	39.144124	25.404456	38.424784	24.158522	37.221601	24.577542	35.540999	23.607246	35.299078	23.331608	34.337816	21.666654	34.815235	21.247634	36.495837
136	#ffffff	#000000	#00000000	#00000000		65.318848	62.678976	20.277338	36.253916	20.001700	35.292654	18.336746	35.770073	17.917726	37.450675	16.947430	37.208753	16.252772	37.928093	15.558114	38.647433	15.833752	39.608695	17.498706	39.131276	18.744640	40.334459	19.439298	39.615119	20.409594	39.857041	20.828614	38.176439	19.582680	36.973256
137	#66ccff	#000000	#00000000	#00000000		65.318848	62.678976	12.228206	39.602270	12.503844	40.563532	14.168798	40.086113	14.587818	38.405511	15.558114	38.647433	16.252772	37.928093	16.947430	37.208753	16.671792	36.247491	15.006838	36.724910	13.760904	35.521727	13.066246	36.241067	12.095950	35.999145	11.676930	37.679747	12.922864	38.882930
138	#ffffff	#000000	#00000000	#00000000		65.318848	62.678976	7.795746	36.712062	7.101088	37.431402	8.347022	38.634585	10.011976	38.157166	10.287614	39.118428	11.257910	39.360349	12.228206	39.602270	12.922864	38.882930	11.676930	37.679747	12.095950	35.999145	11.125654	35.757224	10.850016	34.795962	9.185062	35.273381	8.766042	36.953983
139	#ffffff	#000000	#00000000	#00000000		65.318848	62.678976	2.238486	42.466795	2.514125	43.428056	4.179078	42.950635	4.598096	41.270033	5.568392	41.511953	6.263049	40.792612	6.957706	40.073271	6.682067	39.112010	5.017114	39.589431	3.771179	38.386250	3.076522	39.105591	2.106226	38.863671	1.687208	40.544273	2.933143	41.747454
140	#66ccff	#000000	#00000000	#00000000		65.318848	62.678976	10.287614	39.118428	10.011976	38.157166	8.347022	38.634585	7.928002	40.315187	6.957706	40.073266	6.263048	40.792606	5.568390	41.511946	5.844028	42.473208	7.508982	41.995789	8.754916	43.198972	9.449574	42.479632	10.419870	42.721553	10.838890	41.040951	9.592956	39.837768
141	#A0A0A0	#000000	#00000000	#00000000		65.318848	62.678976	14.720074	42.008634	15.414732	41.289294	14.168798	40.086112	12.503844	40.563531	12.228206	39.602270	11.257910	39.360349	10.287614	39.118428	9.592956	39.837768	10.838890	41.040950	10.419871	42.721552	11.390167	42.963473	11.665805	43.924734	13.330759	43.447315	13.749778	41.766713
142	#ffffff	#000000	#00000000	#00000000		65.318848	62.678976	15.558113	38.647431	14.587817	38.405510	14.168798	40.086112	15.414732	41.289294	14.720074	42.008635	14.995712	42.969896	15.271350	43.931157	16.241646	44.173078	16.660665	42.492476	18.325619	42.015056	18.049981	41.053795	18.744639	40.334454	17.498705	39.131272	15.833751	39.608692
143	#66ccff	#000000	#00000000	#00000000		65.318848	62.678976	19.439298	39.615120	18.744640	40.334460	19.990574	41.537643	21.655528	41.060224	21.931166	42.021486	22.901462	42.263407	23.871758	42.505328	24.566416	41.785988	23.320482	40.582805	23.739502	38.902203	22.769206	38.660282	22.493568	37.699020	20.828614	38.176439	20.409594	39.857041
144	#006699	#000000	#00000000	#00000000		65.318848	62.678976	21.093126	45.382690	20.398468	46.102030	19.152534	44.898847	19.571554	43.218245	18.601258	42.976324	18.325620	42.015062	18.049982	41.053800	18.744640	40.334460	19.990574	41.537643	21.655528	41.060224	21.931166	42.021486	22.901462	42.263407	22.482442	43.944009	20.817488	44.421428
145	#ffffff	#000000	#00000000	#00000000		65.318848	62.678976	24.709798	39.144124	23.739502	38.902203	23.320482	40.582805	24.566416	41.785988	23.871758	42.505328	24.147396	43.466590	24.423034	44.427852	25.393330	44.669773	25.812350	42.989171	27.477304	42.511752	27.201666	41.550490	27.896324	40.831150	26.650390	39.627967	24.985436	40.105386
146	#66ccff	#000000	#00000000	#00000000		65.318848	62.678976	27.201666	41.550490	27.477304	42.511752	29.142258	42.034333	29.561278	40.353731	30.531574	40.595652	31.226232	39.876312	31.920890	39.156972	31.645252	38.195710	29.980298	38.673129	28.734364	37.469946	28.039706	38.189286	27.069410	37.947365	26.650390	39.627967	27.896324	40.831150
