seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on a Tile(4, 1) tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.498550	54.701983	19.944153	19.680081	20.645645	18.036458	20.234739	17.861085	19.877408	18.129254	18.804734	16.699932	17.030569	16.914234	15.256403	17.128536	14.554911	18.772159	14.965817	18.947532	15.019393	19.391073	16.793558	19.176772	17.866232	20.606093	18.223563	20.337925	18.169987	19.894383
1	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	21.955329	17.203241	20.181163	17.417544	20.234739	17.861085	20.645645	18.036458	19.944153	19.680081	21.016827	21.109403	22.089501	22.538724	23.863667	22.324422	23.810091	21.880880	24.167422	21.612712	23.094748	20.183391	23.796239	18.539767	23.385333	18.364394	23.028003	18.632563
2	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	18.804734	16.699932	19.877408	18.129254	20.234739	17.861085	20.181163	17.417544	21.955329	17.203241	22.656820	15.559617	23.358312	13.915994	22.285637	12.486672	21.928307	12.754840	21.517401	12.579468	20.815910	14.223092	19.041744	14.437394	19.095319	14.880935	19.506225	15.056308
3	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	14.116985	14.148386	13.415493	15.792010	13.826399	15.967382	14.183729	15.699214	15.256403	17.128536	17.030569	16.914234	18.804734	16.699932	19.506226	15.056308	19.095320	14.880936	19.041745	14.437394	17.267579	14.651696	16.194905	13.222374	15.837575	13.490543	15.891150	13.934084
4	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	10.702824	19.912473	11.775498	21.341795	12.132829	21.073626	12.079253	20.630085	13.853419	20.415783	14.554911	18.772159	15.256403	17.128536	14.183729	15.699214	13.826399	15.967382	13.415493	15.792010	12.714001	17.435633	10.939835	17.649935	10.993410	18.093477	11.404316	18.268850
5	#006699	#000000	#00000000	#00000000		53.498550	54.701983	16.793558	19.176772	17.866232	20.606093	17.508901	20.874262	17.097995	20.698889	16.396503	22.342513	14.622338	22.556814	12.848172	22.771116	11.775498	21.341795	12.132829	21.073626	12.079253	20.630085	13.853419	20.415783	14.554911	18.772159	14.965817	18.947532	15.019392	19.391074
6	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	26.508906	14.419303	25.436232	12.989981	25.078902	13.258150	25.132477	13.701691	23.358312	13.915994	22.656820	15.559617	21.955329	17.203241	23.028003	18.632563	23.385333	18.364394	23.796239	18.539767	24.497731	16.896143	26.271896	16.681841	26.218321	16.238299	25.807415	16.062927
7	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	23.358311	13.915993	25.132477	13.701691	25.078902	13.258150	24.667996	13.082777	25.369488	11.439153	24.296814	10.009832	23.224140	8.580510	21.449975	8.794812	21.503550	9.238354	21.146220	9.506522	22.218893	10.935844	21.517401	12.579467	21.928307	12.754840	22.285638	12.486672
8	#006699	#000000	#00000000	#00000000		53.498550	54.701983	19.675809	9.009114	21.449975	8.794812	21.503550	9.238354	21.146220	9.506522	22.218893	10.935844	21.517401	12.579467	20.815909	14.223091	19.041743	14.437393	18.988168	13.993851	18.577262	13.818478	19.278754	12.174855	18.206080	10.745533	18.563411	10.477365	18.974317	10.652738
9	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	17.267579	14.651696	19.041744	14.437395	18.988169	13.993853	18.577263	13.818480	19.278755	12.174857	18.206082	10.745535	17.133409	9.316213	15.359243	9.530514	15.412819	9.974056	15.055488	10.242224	16.128161	11.671546	15.426669	13.315169	15.837575	13.490543	16.194905	13.222374
10	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	14.116984	14.148386	15.891150	13.934084	15.837575	13.490543	15.426669	13.315169	16.128161	11.671546	15.055488	10.242225	13.982814	8.812903	12.208648	9.027204	12.262224	9.470746	11.904893	9.738914	12.977567	11.168236	12.276075	12.811859	12.686981	12.987232	13.044311	12.719064
11	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	9.563405	16.932322	10.636078	18.361644	10.993409	18.093475	10.939833	17.649934	12.713999	17.435632	13.415492	15.792009	14.116984	14.148386	13.044311	12.719064	12.686981	12.987232	12.276075	12.811859	11.574582	14.455482	9.800416	14.669784	9.853992	15.113325	10.264898	15.288699
12	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	9.563405	16.932322	7.789240	17.146623	7.842815	17.590165	8.253721	17.765538	7.552229	19.409161	8.624902	20.838483	9.697575	22.267805	11.471741	22.053504	11.418165	21.609962	11.775496	21.341794	10.702822	19.912472	11.404315	18.268849	10.993409	18.093475	10.636078	18.361644
