seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on a Tile(10, 1) tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.498550	54.701983	19.805163	19.650090	20.432687	17.843560	20.252034	17.780808	20.107362	17.905882	18.856624	16.459165	16.978361	16.818978	15.100098	17.178791	14.472574	18.985320	14.653227	19.048073	14.689208	19.235899	16.567471	18.876086	17.818210	20.322803	17.962881	20.197729	17.926900	20.009903
1	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	22.094316	17.233168	20.216053	17.592981	20.252034	17.780808	20.432687	17.843560	19.805163	19.650090	21.055901	21.096807	22.306640	22.543524	24.184903	22.183711	24.148922	21.995885	24.293593	21.870811	23.042855	20.424094	23.670379	18.617564	23.489726	18.554812	23.345054	18.679885
2	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	18.856624	16.459165	20.107362	17.905882	20.252034	17.780808	20.216053	17.592981	22.094316	17.233168	22.721840	15.426638	23.349365	13.620109	22.098626	12.173392	21.953954	12.298465	21.773301	12.235713	21.145777	14.042243	19.267514	14.402056	19.303495	14.589882	19.484148	14.652635
3	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	14.151559	13.987865	13.524035	15.794395	13.704688	15.857147	13.849359	15.732074	15.100098	17.178791	16.978361	16.818978	18.856624	16.459165	19.484148	14.652635	19.303495	14.589882	19.267514	14.402056	17.389251	14.761869	16.138512	13.315152	15.993841	13.440226	16.029822	13.628052
4	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	10.607357	20.017847	11.858096	21.464564	12.002768	21.339490	11.966786	21.151663	13.845049	20.791850	14.472574	18.985320	15.100098	17.178791	13.849359	15.732074	13.704688	15.857147	13.524035	15.794395	12.896510	17.600925	11.018247	17.960738	11.054229	18.148564	11.234882	18.211317
5	#006699	#000000	#00000000	#00000000		53.498550	54.701983	16.567471	18.876086	17.818209	20.322803	17.673538	20.447877	17.492885	20.385125	16.865360	22.191655	14.987097	22.551468	13.108834	22.911281	11.858096	21.464564	12.002768	21.339490	11.966786	21.151663	13.845049	20.791850	14.472574	18.985320	14.653227	19.048073	14.689208	19.235899
6	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	26.587057	14.394112	25.336318	12.947395	25.191646	13.072469	25.227627	13.260296	23.349365	13.620109	22.721840	15.426638	22.094316	17.233168	23.345054	18.679885	23.489726	18.554812	23.670379	18.617564	24.297904	16.811034	26.176166	16.451221	26.140185	16.263395	25.959532	16.200642
7	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	23.349365	13.620109	25.227627	13.260296	25.191646	13.072469	25.010993	13.009717	25.638518	11.203187	24.387779	9.756470	23.137040	8.309753	21.258778	8.669566	21.294759	8.857392	21.150087	8.982466	22.400826	10.429183	21.773301	12.235713	21.953954	12.298465	22.098626	12.173392
8	#006699	#000000	#00000000	#00000000		53.498550	54.701983	19.380515	9.029379	21.258778	8.669566	21.294759	8.857392	21.150087	8.982466	22.400826	10.429183	21.773301	12.235713	21.145777	14.042243	19.267514	14.402056	19.231533	14.214230	19.050880	14.151477	19.678404	12.344947	18.427665	10.898230	18.572337	10.773156	18.752990	10.835909
9	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	17.389250	14.761869	19.267513	14.402057	19.231532	14.214231	19.050879	14.151478	19.678404	12.344949	18.427666	10.898231	17.176928	9.451514	15.298665	9.811326	15.334646	9.999152	15.189975	10.124226	16.440713	11.570944	15.813187	13.377473	15.993841	13.440226	16.138512	13.315152
