seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on a Tile(1, 1) tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.498550	54.701983	20.363317	19.918813	21.137974	18.877745	20.096907	18.103088	18.905500	18.617349	18.391238	17.425941	17.102319	17.275601	15.813399	17.125261	15.038741	18.166328	16.079808	18.940986	15.929468	20.229906	17.218388	20.380246	17.732649	21.571654	18.924057	21.057392	19.074397	19.768472
1	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	21.536167	16.964508	20.247247	16.814168	20.096907	18.103088	21.137974	18.877745	20.363317	19.918813	20.877579	21.110220	21.391842	22.301627	22.680762	22.451967	22.831102	21.163047	24.022509	20.648785	23.508247	19.457378	24.282904	18.416310	23.241837	17.641653	22.050430	18.155915
2	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	18.391238	17.425941	18.905500	18.617349	20.096907	18.103088	20.247247	16.814168	21.536167	16.964508	22.310825	15.923441	23.085482	14.882373	22.571221	13.690966	21.379814	14.205227	20.338746	13.430569	19.564089	14.471637	18.275169	14.321297	18.124829	15.610217	19.165896	16.384874
3	#ffffff	#000000	#00000000	#00000000		53.498550	54.701983	13.841320	14.632390	13.066663	15.673457	14.107730	16.448115	15.299137	15.933854	15.813399	17.125261	17.102319	17.275601	18.391238	17.425941	19.165896	16.384874	18.124829	15.610217	18.275169	14.321297	16.986249	14.170957	16.471988	12.979549	15.280580	13.493810	15.130240	14.782730
4	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	11.119152	19.668830	11.633413	20.860237	12.824821	20.345976	12.975161	19.057056	14.264081	19.207396	15.038740	18.166329	15.813399	17.125261	15.299137	15.933854	14.107730	16.448115	13.066662	15.673456	12.292004	16.714523	11.003084	16.564183	10.852744	17.853103	11.893811	18.627762
5	#006699	#000000	#00000000	#00000000		53.498550	54.701983	17.218386	20.380246	17.732647	21.571654	16.541239	22.085915	15.500172	21.311257	14.725514	22.352325	13.436594	22.201985	12.147675	22.051645	11.633413	20.860237	12.824821	20.345976	12.975161	19.057056	14.264081	19.207396	15.038738	18.166329	16.079806	18.940986	15.929466	20.229906
6	#A0A0A0	#000000	#00000000	#00000000		53.498550	54.701983	26.230411	14.420937	25.716148	13.229530	24.524741	13.743792	24.374402	15.032712	23.085482	14.882373	22.310825	15.923441	21.536167	16.964508	22.050430	18.155915	23.241837	17.641653	24.282904	18.416310	25.057562	17.375243	26.346481	17.525582	26.496820	16.236662	25.455753	15.462005
7	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	23.085482	14.882373	24.374402	15.032712	24.524741	13.743792	23.483673	12.969135	24.258331	11.928068	23.744069	10.736661	23.229806	9.545255	21.940887	9.394917	21.790548	10.683836	20.599142	11.198099	21.113404	12.389505	20.338747	13.430572	21.379814	14.205229	22.571220	13.690967
8	#006699	#000000	#00000000	#00000000		53.498550	54.701983	20.651967	9.244578	21.940887	9.394917	21.790548	10.683836	20.599142	11.198099	21.113404	12.389505	20.338747	13.430572	19.564089	14.471639	18.275169	14.321300	18.425508	13.032381	17.384441	12.257723	18.159098	11.216656	17.644836	10.025250	18.836242	9.510988	19.877309	10.285645
9	#66ccff	#000000	#00000000	#00000000		53.498550	54.701983	16.986249	14.170957	18.275169	14.321297	18.425509	13.032377	17.384441	12.257718	18.159100	11.216650	17.644839	10.025243	17.130578	8.833835	15.841658	8.683495	15.691318	9.972415	14.499910	10.486676	15.014172	11.678084	14.239513	12.719151	15.280580	13.493810	16.471988	12.979549
