seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
14	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	42.435252	29.999996	44.167303	29.999996	44.167303	28.999996	43.301278	28.499996	44.167304	26.999996	43.301279	25.499996	42.435254	23.999996	40.703203	23.999996	40.703203	24.999996	39.837177	25.499996	40.703202	26.999996	39.837176	28.499996	40.703201	28.999996	41.569227	28.499996
15	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	42.435252	29.999996	41.569226	31.499996	42.435251	31.999996	43.301277	31.499996	44.167302	32.999996	45.899353	32.999996	47.631404	32.999996	48.497430	31.499996	47.631405	30.999996	47.631405	29.999996	45.899354	29.999996	45.033329	28.499996	44.167303	28.999996	44.167303	29.999996
16	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	44.167304	26.999996	43.301278	28.499996	44.167303	28.999996	45.033329	28.499996	45.899354	29.999996	47.631405	29.999997	49.363456	29.999998	50.229482	28.499998	49.363457	27.999998	49.363457	26.999998	47.631406	26.999997	46.765381	25.499997	45.899355	25.999997	45.899355	26.999997
17	#8080ff	#000000	#00000000	#00000000		84.870499	77.999995	47.631407	24.999997	46.765381	25.499997	47.631406	26.999997	49.363457	26.999997	49.363457	27.999997	50.229482	28.499997	51.095507	28.999997	51.961533	28.499997	51.095508	26.999997	51.961534	25.499997	51.095509	24.999997	51.095509	23.999997	49.363458	23.999997	48.497432	25.499997
18	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	51.095510	20.999997	50.229485	19.499997	49.363459	19.999997	49.363459	20.999997	47.631408	20.999997	46.765382	22.499997	45.899356	23.999997	46.765381	25.499997	47.631407	24.999997	48.497432	25.499997	49.363458	23.999997	51.095509	23.999997	51.095509	22.999997	50.229484	22.499997
19	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	44.167306	20.999996	42.435255	20.999996	42.435255	21.999996	43.301280	22.499996	42.435254	23.999996	43.301279	25.499996	44.167304	26.999996	45.899355	26.999996	45.899355	25.999996	46.765381	25.499996	45.899356	23.999996	46.765382	22.499996	45.899357	21.999996	45.033331	22.499996
20	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	42.435254	23.999996	43.301279	22.499996	42.435254	21.999996	41.569229	22.499996	40.703204	20.999996	38.971153	20.999996	37.239102	20.999996	36.373077	22.499996	37.239102	22.999996	37.239102	23.999996	38.971153	23.999996	39.837178	25.499996	40.703203	24.999996	40.703203	23.999996
21	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	37.239103	20.999996	36.373078	19.499996	35.507052	19.999996	35.507052	20.999996	33.775001	20.999996	32.908975	22.499996	32.042949	23.999996	32.908974	25.499996	33.775000	24.999996	34.641025	25.499996	35.507051	23.999996	37.239102	23.999996	37.239102	22.999996	36.373077	22.499996
22	#8080ff	#000000	#00000000	#00000000		84.870499	77.999995	37.239095	24.999995	37.239095	23.999995	35.507044	23.999995	34.641019	25.499995	33.774994	24.999995	32.908969	25.499995	32.042944	25.999995	32.042944	26.999995	33.774995	26.999995	34.641020	28.499995	35.507045	27.999995	36.373070	28.499995	37.239095	26.999995	36.373070	25.499995
23	#d0d0d0	#000000	#00000000	#00000000		84.870499	77.999995	35.507044	29.999995	36.373070	28.499995	35.507045	27.999995	34.641019	28.499995	33.774994	26.999995	32.042943	26.999995	30.310892	26.999995	29.444866	28.499995	30.310891	28.999995	30.310891	29.999995	32.042942	29.999995	32.908967	31.499995	33.774993	30.999995	33.774993	29.999995
