tile_id	color	start_edge	match_id	match_edge	footnote
224	lb	LT	63	LW	
225	w	RP	162	LT	
226	db	RT	162	RT	
227	w	LS	158	RT	
228	db	RH	157	DW	
229	lb	RH	123	RW	
230	g	LW	106	LN	
231	lb	LH	160	RN	
232	db	RH	212	DW	
233	w	RT	211	LW	
234	lb	RT	232	RN	
235	lb	LH	209	RN	
236	w	RS	209	RS	
237	w	RT	199	LW	
239	g	RS	194	RS	
238	lb	LH	194	RN	
240	lb	LH	172	RN	
241	w	RS	172	RS	
242	lb	LN	171	LW	
243	g	RH	242	LP	
244	lb	LH	204	LP	
245	g	RS	43	RS	
246	db	RN	48	RT	
247	lb	LT	49	RP	
248	g	LW	223	LN	
249	lb	RT	110	RN	
250	g	LN	230	RP	
251	g	RS	42	RS	left border
252	g	LS	237	LT	bottom border
253	lb	RT	226	RN	right border
