seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on a Tile(4, 1) tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.498549	54.701979	19.944161	19.680074	20.645654	18.036450	20.234748	17.861077	19.877417	18.129245	18.804743	16.699922	15.256409	17.128525	14.554916	18.772149	14.965822	18.947522	15.019397	19.391064	16.793565	19.176763	17.866238	20.606086	18.223569	20.337918	18.169994	19.894376
1	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	21.955339	17.203233	20.181172	17.417535	20.234747	17.861077	20.645653	18.036450	19.944161	19.680074	22.089508	22.538720	23.863675	22.324418	23.810100	21.880877	24.167431	21.612708	23.094757	20.183385	23.796250	18.539761	23.385344	18.364388	23.028013	18.632556
2	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	18.804742	16.699923	19.877416	18.129246	20.234747	17.861077	20.181172	17.417535	21.955339	17.203233	23.358324	13.915985	22.285650	12.486662	21.928319	12.754830	21.517413	12.579457	20.815920	14.223081	19.041754	14.437383	19.095329	14.880925	19.506235	15.056298
3	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	14.116991	14.148373	13.415498	15.791998	13.826404	15.967371	14.183735	15.699202	15.256409	17.128525	18.804743	16.699922	19.506236	15.056298	19.095330	14.880925	19.041754	14.437383	17.267588	14.651685	16.194913	13.222362	15.837583	13.490530	15.891158	13.934072
4	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	10.702827	19.912463	11.775501	21.341786	12.132832	21.073618	12.079257	20.630076	13.853424	20.415774	15.256409	17.128526	14.183735	15.699202	13.826404	15.967371	13.415498	15.791998	12.714005	17.435622	10.939838	17.649924	10.993414	18.093466	11.404320	18.268839
5	#006699	#000000	#00000000	#00000000		53.498549	54.701979	16.793565	19.176763	17.866239	20.606086	17.508908	20.874255	17.098002	20.698882	16.396509	22.342506	12.848175	22.771109	11.775501	21.341786	12.132832	21.073618	12.079257	20.630076	13.853424	20.415774	14.554916	18.772150	14.965822	18.947523	15.019398	19.391065
6	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	26.508921	14.419295	25.436247	12.989972	25.078916	13.258141	25.132491	13.701683	23.358324	13.915984	21.955338	17.203233	23.028013	18.632556	23.385344	18.364388	23.796250	18.539761	24.497743	16.896136	26.271909	16.681835	26.218334	16.238293	25.807428	16.062920
7	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	23.358324	13.915984	25.132491	13.701683	25.078916	13.258141	24.668010	13.082768	25.369503	11.439143	23.224155	8.580497	21.449988	8.794798	21.503563	9.238340	21.146233	9.506509	22.218906	10.935832	21.517413	12.579456	21.928319	12.754829	22.285650	12.486661
8	#006699	#000000	#00000000	#00000000		53.498549	54.701979	19.675821	9.009100	21.449988	8.794798	21.503563	9.238340	21.146233	9.506509	22.218906	10.935832	20.815920	14.223080	19.041752	14.437381	18.988177	13.993840	18.577271	13.818467	19.278764	12.174842	18.206091	10.745519	18.563422	10.477351	18.974328	10.652724
9	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	17.267587	14.651685	19.041754	14.437384	18.988178	13.993843	18.577272	13.818469	19.278766	12.174845	17.133419	9.316198	15.359252	9.530498	15.412828	9.974040	15.055497	10.242209	16.128170	11.671532	15.426676	13.315156	15.837582	13.490530	16.194913	13.222362
10	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	14.116991	14.148372	15.891158	13.934071	15.837582	13.490530	15.426676	13.315156	16.128170	11.671532	13.982823	8.812886	12.208656	9.027186	12.262231	9.470728	11.904900	9.738896	12.977574	11.168220	12.276080	12.811844	12.686986	12.987217	13.044317	12.719049
11	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	9.563407	16.932308	10.636080	18.361631	10.993411	18.093463	10.939835	17.649921	12.714003	17.435620	14.116990	14.148372	13.044317	12.719049	12.686986	12.987217	12.276080	12.811844	11.574586	14.455468	9.800419	14.669768	9.853994	15.113310	10.264900	15.288684
12	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	9.563407	16.932308	7.789240	17.146608	7.842815	17.590150	8.253721	17.765524	7.552227	19.409148	9.697574	22.267795	11.471741	22.053494	11.418166	21.609952	11.775496	21.341784	10.702823	19.912461	11.404317	18.268837	10.993411	18.093463	10.636080	18.361631
13	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	9.697574	22.267795	8.996080	23.911419	9.406986	24.086793	9.764317	23.818624	10.836990	25.247948	14.385324	24.819346	15.086818	23.175722	14.675912	23.000349	14.622337	22.556807	12.848169	22.771108	11.775496	21.341784	11.418165	21.609953	11.471740	22.053494
14	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	14.385324	24.819346	15.457997	26.248670	15.815328	25.980501	15.761753	25.536959	17.535920	25.322659	18.938908	22.035411	17.866234	20.606087	17.508904	20.874256	17.097998	20.698882	16.396504	22.342506	14.622337	22.556807	14.675912	23.000349	15.086818	23.175722
15	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	15.524741	27.799499	16.597415	29.228822	16.954746	28.960653	16.901170	28.517112	18.675338	28.302810	20.078324	25.015562	19.005650	23.586239	18.648319	23.854407	18.237413	23.679034	17.535920	25.322658	15.761753	25.536960	15.815328	25.980501	16.226235	26.155874
16	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	20.078323	25.015562	21.852490	24.801262	21.798915	24.357720	21.388009	24.182346	22.089503	22.538722	19.944156	19.680075	18.169989	19.894376	18.223564	20.337918	17.866233	20.606086	18.938907	22.035409	18.237413	23.679033	18.648319	23.854407	19.005650	23.586239
17	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	22.089503	22.538722	21.388009	24.182346	21.798914	24.357720	22.156245	24.089552	23.228919	25.518875	26.777253	25.090274	27.478747	23.446650	27.067841	23.271276	27.014266	22.827734	25.240099	23.042035	24.167426	21.612712	23.810095	21.880880	23.863670	22.324422
18	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	20.078323	25.015562	19.376829	26.659186	19.787735	26.834560	20.145066	26.566391	21.217740	27.995715	24.766074	27.567114	25.467567	25.923490	25.056661	25.748116	25.003086	25.304574	23.228919	25.518875	22.156246	24.089551	21.798914	24.357720	21.852490	24.801262
19	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	24.766074	27.567114	25.838747	28.996437	26.196078	28.728269	26.142502	28.284727	27.916669	28.070426	29.319657	24.783178	28.246984	23.353855	27.889653	23.622023	27.478747	23.446649	26.777253	25.090273	25.003086	25.304574	25.056662	25.748116	25.467567	25.923490
20	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	27.916669	28.070426	26.142502	28.284727	26.196077	28.728269	26.606984	28.903642	25.905490	30.547266	28.050836	33.405913	29.825003	33.191612	29.771428	32.748070	30.128759	32.479902	29.056086	31.050579	29.757580	29.406955	29.346673	29.231581	28.989342	29.499749
21	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	29.319657	24.783178	31.093824	24.568877	31.040249	24.125336	30.629342	23.949962	31.330836	22.306338	29.185490	19.447691	27.411323	19.661992	27.464898	20.105533	27.107567	20.373702	28.180240	21.803025	27.478746	23.446649	27.889653	23.622023	28.246984	23.353855
22	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	32.470253	25.286490	31.397580	23.857167	31.040249	24.125335	31.093824	24.568877	29.319657	24.783178	27.916669	28.070426	28.989342	29.499749	29.346673	29.231581	29.757580	29.406955	30.459074	27.763331	32.233241	27.549030	32.179666	27.105488	31.768759	26.930114
23	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	25.905489	30.547266	26.606984	28.903642	26.196078	28.728269	25.838747	28.996437	24.766074	27.567114	21.217739	27.995714	20.516245	29.639338	20.927151	29.814712	20.980727	30.258254	22.754893	30.043953	23.827567	31.473277	24.184898	31.205108	24.131322	30.761567
24	#006699	#000000	#00000000	#00000000		53.498549	54.701979	22.754894	30.043953	23.827567	31.473276	23.470236	31.741444	23.059330	31.566071	22.357837	33.209696	18.809503	33.638298	17.736829	32.208975	18.094160	31.940807	18.040585	31.497265	19.814752	31.282964	20.516245	29.639339	20.927151	29.814713	20.980727	30.258254
25	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	16.664156	30.779651	17.736829	32.208974	18.094160	31.940805	18.040584	31.497264	19.814752	31.282963	21.217739	27.995715	20.145066	26.566391	19.787735	26.834560	19.376829	26.659186	18.675335	28.302810	16.901168	28.517111	16.954743	28.960653	17.365649	29.136026
26	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	15.524739	27.799498	13.750572	28.013799	13.804147	28.457341	14.215053	28.632714	13.513559	30.276338	15.658906	33.134985	17.433073	32.920684	17.379498	32.477142	17.736829	32.208974	16.664156	30.779651	17.365649	29.136026	16.954743	28.960653	16.597412	29.228821
27	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	15.524739	27.799498	16.226233	26.155874	15.815326	25.980501	15.457995	26.248669	14.385322	24.819346	10.836988	25.247947	10.135495	26.891571	10.546401	27.066944	10.599976	27.510486	12.374143	27.296185	13.446817	28.725509	13.804148	28.457340	13.750572	28.013799
28	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	12.374143	27.296186	10.599976	27.510486	10.653551	27.954028	11.064457	28.129402	10.362964	29.773026	12.508310	32.631672	14.282478	32.417372	14.228902	31.973830	14.586233	31.705661	13.513560	30.276338	14.215053	28.632714	13.804147	28.457341	13.446816	28.725509
29	#006699	#000000	#00000000	#00000000		53.498549	54.701979	9.965906	32.938768	8.191739	33.153068	8.138164	32.709526	8.495495	32.441358	7.422821	31.012035	8.825809	27.724786	10.599976	27.510486	10.653551	27.954028	11.064457	28.129402	10.362964	29.773026	11.435637	31.202349	11.078306	31.470517	10.667400	31.295144
30	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	10.836988	25.247947	9.764314	23.818624	9.406983	24.086792	9.460559	24.530334	7.686392	24.744635	6.283405	28.031884	7.356079	29.461207	7.713410	29.193038	8.124316	29.368411	8.825809	27.724787	10.599977	27.510486	10.546401	27.066944	10.135495	26.891571
