seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12
24	#66ccff	#000000	#00000000	#00000000		0.866250	0.545580	0.412500	0.201345	0.416250	0.207840	0.405000	0.214335	0.393750	0.207840	0.390000	0.214335	0.375000	0.214335	0.371250	0.207840	0.382500	0.201345	0.382500	0.188355	0.390000	0.188355	0.393750	0.181860	0.405000	0.188355	0.405000	0.201345
25	#ffffff	#000000	#00000000	#00000000		0.866250	0.545580	0.420000	0.162375	0.427500	0.162375	0.427500	0.175365	0.416250	0.181860	0.420000	0.188355	0.412500	0.201345	0.405000	0.201345	0.405000	0.188355	0.393750	0.181860	0.397500	0.175365	0.393750	0.168870	0.405000	0.162375	0.416250	0.168870
26	#ffffff	#000000	#00000000	#00000000		0.866250	0.545580	0.390000	0.136395	0.393750	0.129900	0.405000	0.136395	0.405000	0.149385	0.412500	0.149385	0.420000	0.162375	0.416250	0.168870	0.405000	0.162375	0.393750	0.168870	0.390000	0.162375	0.382500	0.162375	0.382500	0.149385	0.393750	0.142890
27	#66ccff	#000000	#00000000	#00000000		0.866250	0.545580	0.420000	0.110415	0.427500	0.110415	0.427500	0.123405	0.416250	0.129900	0.420000	0.136395	0.412500	0.149385	0.405000	0.149385	0.405000	0.136395	0.393750	0.129900	0.397500	0.123405	0.393750	0.116910	0.405000	0.110415	0.416250	0.116910
28	#006699	#000000	#00000000	#00000000		0.866250	0.545580	0.442500	0.149385	0.450000	0.149385	0.450000	0.136395	0.438750	0.129900	0.442500	0.123405	0.435000	0.110415	0.427500	0.110415	0.427500	0.123405	0.416250	0.129900	0.420000	0.136395	0.416250	0.142890	0.427500	0.149385	0.438750	0.142890
29	#66ccff	#000000	#00000000	#00000000		0.866250	0.545580	0.465000	0.110415	0.472500	0.110415	0.472500	0.123405	0.461250	0.129900	0.465000	0.136395	0.457500	0.149385	0.450000	0.149385	0.450000	0.136395	0.438750	0.129900	0.442500	0.123405	0.438750	0.116910	0.450000	0.110415	0.461250	0.116910
30	#66ccff	#000000	#00000000	#00000000		0.866250	0.545580	0.442500	0.175365	0.438750	0.181860	0.427500	0.175365	0.427500	0.162375	0.420000	0.162375	0.412500	0.149385	0.416250	0.142890	0.427500	0.149385	0.438750	0.142890	0.442500	0.149385	0.450000	0.149385	0.450000	0.162375	0.438750	0.168870
31	#ffffff	#000000	#00000000	#00000000		0.866250	0.545580	0.480000	0.162375	0.483750	0.168870	0.472500	0.175365	0.461250	0.168870	0.457500	0.175365	0.442500	0.175365	0.438750	0.168870	0.450000	0.162375	0.450000	0.149385	0.457500	0.149385	0.461250	0.142890	0.472500	0.149385	0.472500	0.162375
32	#ffffff	#000000	#00000000	#00000000		0.866250	0.545580	0.487500	0.123405	0.495000	0.123405	0.495000	0.136395	0.483750	0.142890	0.487500	0.149385	0.480000	0.162375	0.472500	0.162375	0.472500	0.149385	0.461250	0.142890	0.465000	0.136395	0.461250	0.129900	0.472500	0.123405	0.483750	0.129900
33	#66ccff	#000000	#00000000	#00000000		0.866250	0.545580	0.525000	0.136395	0.528750	0.142890	0.517500	0.149385	0.506250	0.142890	0.502500	0.149385	0.487500	0.149385	0.483750	0.142890	0.495000	0.136395	0.495000	0.123405	0.502500	0.123405	0.506250	0.116910	0.517500	0.123405	0.517500	0.136395
