seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5
72	#FF5050	#FF3838	#50FF50	#38FF38	13.000000	14.722432	4.500000	12.124356	4.000000	12.990381	3.000000	12.990381	2.500000	12.124356	3.000000	11.258330	4.000000	11.258330
73	#FF5C5C	#FF3838	#5CFF5C	#38FF38	13.000000	14.722432	6.000000	12.990381	5.500000	13.856406	4.500000	13.856406	4.000000	12.990381	4.500000	12.124356	5.500000	12.124356
74	#FF6868	#FF3838	#68FF68	#38FF38	13.000000	14.722432	7.500000	12.124356	7.000000	12.990381	6.000000	12.990381	5.500000	12.124356	6.000000	11.258330	7.000000	11.258330
75	#FF7474	#FF3838	#74FF74	#38FF38	13.000000	14.722432	9.000000	12.990381	8.500000	13.856406	7.500000	13.856406	7.000000	12.990381	7.500000	12.124356	8.500000	12.124356
76	#FF8080	#FF3838	#80FF80	#38FF38	13.000000	14.722432	10.500000	12.124356	10.000000	12.990381	9.000000	12.990381	8.500000	12.124356	9.000000	11.258330	10.000000	11.258330
77	#FF3838	#FF3838	#38FF38	#38FF38	13.000000	14.722432	12.000000	12.990381	11.500000	13.856406	10.500000	13.856406	10.000000	12.990381	10.500000	12.124356	11.500000	12.124356
78	#FF4444	#FF3838	#44FF44	#38FF38	13.000000	14.722432	13.500000	12.124356	13.000000	12.990381	12.000000	12.990381	11.500000	12.124356	12.000000	11.258330	13.000000	11.258330
79	#FF5050	#FF3838	#50FF50	#38FF38	13.000000	14.722432	15.000000	12.990381	14.500000	13.856406	13.500000	13.856406	13.000000	12.990381	13.500000	12.124356	14.500000	12.124356
80	#FF5C5C	#FF3838	#5CFF5C	#38FF38	13.000000	14.722432	1.500000	13.856406	1.000000	14.722432	0.000000	14.722432	-0.500000	13.856406	0.000000	12.990381	1.000000	12.990381
81	#FF6868	#FF3838	#68FF68	#38FF38	13.000000	14.722432	3.000000	14.722432	2.500000	15.588457	1.500000	15.588457	1.000000	14.722432	1.500000	13.856406	2.500000	13.856406
82	#FF7474	#FF3838	#74FF74	#38FF38	13.000000	14.722432	4.500000	13.856406	4.000000	14.722432	3.000000	14.722432	2.500000	13.856406	3.000000	12.990381	4.000000	12.990381
83	#FF8080	#FF3838	#80FF80	#38FF38	13.000000	14.722432	6.000000	14.722432	5.500000	15.588457	4.500000	15.588457	4.000000	14.722432	4.500000	13.856406	5.500000	13.856406
84	#FF3838	#FF3838	#38FF38	#38FF38	13.000000	14.722432	7.500000	13.856406	7.000000	14.722432	6.000000	14.722432	5.500000	13.856406	6.000000	12.990381	7.000000	12.990381
85	#FF4444	#FF3838	#44FF44	#38FF38	13.000000	14.722432	9.000000	14.722432	8.500000	15.588457	7.500000	15.588457	7.000000	14.722432	7.500000	13.856406	8.500000	13.856406
86	#FF5050	#FF3838	#50FF50	#38FF38	13.000000	14.722432	10.500000	13.856406	10.000000	14.722432	9.000000	14.722432	8.500000	13.856406	9.000000	12.990381	10.000000	12.990381
87	#FF5C5C	#FF3838	#5CFF5C	#38FF38	13.000000	14.722432	12.000000	14.722432	11.500000	15.588457	10.500000	15.588457	10.000000	14.722432	10.500000	13.856406	11.500000	13.856406
88	#FF6868	#FF3838	#68FF68	#38FF38	13.000000	14.722432	13.500000	13.856406	13.000000	14.722432	12.000000	14.722432	11.500000	13.856406	12.000000	12.990381	13.000000	12.990381
89	#FF7474	#FF3838	#74FF74	#38FF38	13.000000	14.722432	15.000000	14.722432	14.500000	15.588457	13.500000	15.588457	13.000000	14.722432	13.500000	13.856406	14.500000	13.856406
