seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12
0	#66ccff	#000000	#00000000	#00000000	Starting tile pattern based on a Tile(1, 1) tiling in a <a href="https://cs.uwaterloo.ca/~csk/hat/examples/animation.gif">looping animated GIF</a> by David Smith, Joseph Samuel Myers, Craig S. Kaplan, and Chaim Goodman-Strauss, used under <a href="http://creativecommons.org/licenses/by/4.0/">CC BY 4.0</a> / This is a recreation of the original rather than a screenshot, and the cropping, colors, and vertical orientation differ slightly from the original.	53.498549	54.701979	20.363320	19.918807	21.137978	18.877739	20.096910	18.103081	18.905502	18.617342	18.391241	17.425934	15.813401	17.125253	15.038743	18.166321	16.079810	18.940979	15.929470	20.229899	17.218391	20.380240	17.732652	21.571648	18.924060	21.057387	19.074400	19.768466
1	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	21.536169	16.964499	20.247249	16.814159	20.096909	18.103080	21.137976	18.877738	20.363320	19.918807	21.391843	22.301621	22.680764	22.451962	22.831104	21.163041	24.022512	20.648779	23.508250	19.457371	24.282908	18.416303	23.241840	17.641645	22.050432	18.155908
2	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	18.391240	17.425932	18.905502	18.617341	20.096910	18.103079	20.247250	16.814159	21.536169	16.964499	23.085487	14.882364	22.571226	13.690956	21.379818	14.205217	20.338750	13.430559	19.564092	14.471627	18.275171	14.321286	18.124831	15.610207	19.165899	16.384865
3	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	13.841321	14.632380	13.066663	15.673448	14.107730	16.448106	15.299138	15.933845	15.813400	17.125253	18.391241	17.425934	19.165899	16.384866	18.124831	15.610208	18.275171	14.321287	16.986251	14.170947	16.471990	12.979539	15.280582	13.493800	15.130241	14.782721
4	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	11.119151	19.668822	11.633412	20.860230	12.824820	20.345969	12.975160	19.057048	14.264081	19.207389	15.813398	17.125254	15.299138	15.933845	14.107730	16.448106	13.066662	15.673447	12.292003	16.714514	11.003082	16.564174	10.852742	17.853095	11.893810	18.627754
5	#006699	#000000	#00000000	#00000000		53.498549	54.701979	17.218387	20.380240	17.732648	21.571648	16.541240	22.085909	15.500172	21.311251	14.725514	22.352319	12.147674	22.051638	11.633413	20.860230	12.824821	20.345969	12.975162	19.057048	14.264081	19.207389	15.038739	18.166321	16.079807	18.940979	15.929466	20.229900
6	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	26.230416	14.420928	25.716153	13.229520	24.524745	13.743783	24.374406	15.032703	23.085486	14.882364	21.536169	16.964499	22.050432	18.155908	23.241840	17.641645	24.282908	18.416303	25.057566	17.375235	26.346486	17.525575	26.496825	16.236654	25.455758	15.461996
7	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	23.085484	14.882363	24.374405	15.032702	24.524745	13.743783	23.483677	12.969125	24.258336	11.928057	23.229810	9.545242	21.940889	9.394903	21.790550	10.683824	20.599143	11.198086	21.113406	12.389493	20.338747	13.430560	21.379815	14.205219	22.571222	13.690956
8	#006699	#000000	#00000000	#00000000		53.498549	54.701979	20.651969	9.244566	21.940889	9.394905	21.790550	10.683825	20.599143	11.198087	21.113406	12.389493	19.564090	14.471629	18.275169	14.321290	18.425508	13.032370	17.384441	12.257712	18.159099	11.216644	17.644836	10.025237	18.836243	9.510975	19.877311	10.285633
9	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	16.986251	14.170947	18.275171	14.321287	18.425512	13.032367	17.384444	12.257708	18.159103	11.216640	17.130581	8.833823	15.841660	8.683483	15.691320	9.972403	14.499912	10.486665	15.014173	11.678073	14.239514	12.719141	15.280582	13.493800	16.471990	12.979539
10	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	13.841321	14.632380	15.130241	14.782721	15.280582	13.493800	14.239514	12.719141	15.014173	11.678073	13.985651	9.295256	12.696730	9.144916	12.546390	10.433837	11.354982	10.948098	11.869243	12.139506	11.094583	13.180574	12.135651	13.955233	13.327059	13.440972
11	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	9.147072	17.175949	9.661333	18.367357	10.852741	17.853096	11.003081	16.564176	12.292002	16.714516	13.841319	14.632382	13.327059	13.440972	12.135651	13.955233	11.094583	13.180574	10.319924	14.221642	9.031003	14.071301	8.880663	15.360222	9.921731	16.134881
12	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	9.147072	17.175949	7.858151	17.025609	7.707811	18.314529	8.748878	19.089189	7.974219	20.130256	9.002741	22.513073	10.291662	22.663413	10.442002	21.374493	11.633411	20.860231	11.119149	19.668823	11.893809	18.627755	10.852741	17.853096	9.661333	18.367357
13	#ffffff	#000000	#00000000	#00000000		53.498549	54.701979	9.002741	22.513073	8.228083	23.554140	9.269151	24.328799	10.460559	23.814537	10.974820	25.005946	13.552660	25.306627	14.327318	24.265559	13.286251	23.490901	13.436591	22.201980	12.147670	22.051640	11.633409	20.860232	10.442001	21.374493	10.291661	22.663413
14	#66ccff	#000000	#00000000	#00000000		53.498549	54.701979	13.552660	25.306627	14.066923	26.498035	15.258331	25.983772	15.408671	24.694852	16.697592	24.845192	18.246908	22.763057	17.732645	21.571649	16.541237	22.085911	15.500170	21.311253	14.725512	22.352321	13.436591	22.201980	13.286251	23.490901	14.327318	24.265559
15	#A0A0A0	#000000	#00000000	#00000000		53.498549	54.701979	15.524740	27.799498	16.039001	28.990906	17.230410	28.476645	17.380750	27.187724	18.669671	27.338065	20.218988	25.255929	19.704727	24.064521	18.513319	24.578782	17.472251	23.804124	16.697593	24.845192	15.408672	24.694851	15.258331	25.983772	16.299398	26.758430
